# WA_ECR, WA_FCU, WL_ECR, WL_FCU, SD_ECR, SD_FCU
1.590000000000000000e+02, 3.700000000000000000e+01, 4.417916649841678378e+01, 2.820384359576606670e+01, 5.217770166732749876e-02, 4.249762878026413365e-02
5.600000000000000000e+01, 3.600000000000000000e+01, 2.296501979589688602e+01, 2.698898009529523634e+01, 4.229293893750547123e-02, 4.122759923251946568e-02
3.100000000000000000e+01, 5.600000000000000000e+01, 2.249483066931361464e+01, 2.885222204508777466e+01, 3.560538205091325764e-02, 5.156804736980191706e-02
4.200000000000000000e+01, 7.500000000000000000e+01, 2.199378949300970376e+01, 2.977793068229053475e+01, 3.707692596686571612e-02, 6.489529043269147424e-02
2.900000000000000000e+01, 5.700000000000000000e+01, 1.774021313352453078e+01, 2.628132307331454598e+01, 3.617226417893970591e-02, 6.240782268650920533e-02
7.000000000000000000e+00, 7.500000000000000000e+01, 1.929831318675547891e+01, 3.623949776676813883e+01, 2.822619999781861636e-02, 6.657294543416837629e-02
8.000000000000000000e+00, 7.600000000000000000e+01, 1.762902498622981184e+01, 3.172195391551848331e+01, 2.986920791938346698e-02, 6.282413920831568521e-02
4.000000000000000000e+00, 6.500000000000000000e+01, 1.922958461085048398e+01, 3.726433385817167476e+01, 2.268504040756583184e-02, 5.329746004979162705e-02
1.000000000000000000e+00, 8.400000000000000000e+01, 1.924847635700368187e+01, 3.538100077709383839e+01, 2.614732846927381171e-02, 6.055154944698126762e-02
4.000000000000000000e+00, 6.400000000000000000e+01, 1.433514099791863750e+01, 2.936775328517679284e+01, 2.308074186873303527e-02, 6.426956265004707403e-02
4.600000000000000000e+01, 7.600000000000000000e+01, 2.212889588637896665e+01, 3.317572002651728269e+01, 4.508210975507934842e-02, 6.371604992049843819e-02
6.000000000000000000e+00, 4.700000000000000000e+01, 1.635229317865919185e+01, 3.040919461409124480e+01, 2.624601233048156831e-02, 5.316817970027160056e-02
1.000000000000000000e+00, 7.800000000000000000e+01, 1.892311838673844804e+01, 3.810226021142742781e+01, 2.362455481537377444e-02, 6.351006946265702613e-02
0.000000000000000000e+00, 6.600000000000000000e+01, 1.833740634038353434e+01, 3.731643412748497468e+01, 1.868219856678415836e-02, 5.342203781072799029e-02
1.000000000000000000e+02, 1.810000000000000000e+02, 3.596138302650112450e+01, 5.216223967443199427e+01, 5.349258132032660984e-02, 7.218502671101506563e-02
6.700000000000000000e+01, 9.900000000000000000e+01, 3.102140534481132761e+01, 3.782677539866266869e+01, 4.349283810135150946e-02, 6.933997860329396690e-02
4.800000000000000000e+01, 5.100000000000000000e+01, 2.314667413069954094e+01, 2.961701710629923312e+01, 4.797916628575278619e-02, 5.150802693721735076e-02
7.000000000000000000e+01, 5.900000000000000000e+01, 2.812907526905689437e+01, 3.049553933054346899e+01, 4.661022533368854720e-02, 6.153880391773599440e-02
4.600000000000000000e+01, 3.400000000000000000e+01, 2.165144802223629128e+01, 2.578652865054244003e+01, 3.868224825784113974e-02, 5.271455015788614751e-02
1.000000000000000000e+01, 5.100000000000000000e+01, 1.461157268758926442e+01, 2.593676600621733996e+01, 2.580279958828409631e-02, 5.842858267723578108e-02
3.900000000000000000e+01, 7.700000000000000000e+01, 2.431390445088958785e+01, 3.825730920458710216e+01, 3.261455297348646309e-02, 5.392499729318956520e-02
5.200000000000000000e+01, 8.300000000000000000e+01, 2.365251544380505422e+01, 3.230932338889125788e+01, 4.007994099332624904e-02, 6.146660790505950600e-02
6.400000000000000000e+01, 6.500000000000000000e+01, 2.571029746631454671e+01, 3.072152832714444415e+01, 5.046305936041323853e-02, 7.166895677238464823e-02
0.000000000000000000e+00, 3.000000000000000000e+00, 2.839070773899817990e+00, 7.442395738677574535e+00, 1.067290481892249968e-02, 2.351774492616031179e-02
4.100000000000000000e+01, 7.000000000000000000e+01, 2.496363241615624418e+01, 3.761629320188943382e+01, 3.790423297363879063e-02, 5.673508740352592450e-02
3.300000000000000000e+01, 1.080000000000000000e+02, 2.565174533446814209e+01, 4.129242506366747278e+01, 3.717314312791208247e-02, 6.761347542683238121e-02
2.700000000000000000e+01, 8.000000000000000000e+01, 2.230079305007696178e+01, 3.969015095695816342e+01, 3.155340105246375731e-02, 4.979088777762775975e-02
6.300000000000000000e+01, 9.300000000000000000e+01, 2.823233337215352989e+01, 4.279600189828401113e+01, 3.992483525493644575e-02, 6.160328176395964833e-02
7.300000000000000000e+01, 9.100000000000000000e+01, 2.739606549222473930e+01, 4.223173498016856797e+01, 4.040195889168352039e-02, 5.833764899053250907e-02
7.600000000000000000e+01, 1.030000000000000000e+02, 3.035049483270585924e+01, 4.520945505767393513e+01, 4.457492672662557304e-02, 6.068837728606333443e-02
2.000000000000000000e+01, 2.110000000000000000e+02, 2.039285279323614830e+01, 4.335722585509773097e+01, 3.360745832560426555e-02, 8.448949625780960426e-02
