X[s],FCU: EMG 1,X[s],ECR: EMG 2
0.1266207,-1.49E-05,0.1266207,-1.43E-05
0.1270862,-1.53E-05,0.1270862,-8.39E-06
0.1275517,-9.23E-06,0.1275517,-4.20E-06
0.1280172,-6.88E-06,0.1280172,-4.53E-06
0.1284828,-6.88E-06,0.1284828,-6.55E-06
0.1289483,-1.29E-05,0.1289483,-6.88E-06
0.1294138,-2.43E-05,0.1294138,-7.89E-06
0.1298793,-3.24E-05,0.1298793,-8.39E-06
0.1303448,-3.34E-05,0.1303448,-6.88E-06
0.1308103,-2.87E-05,0.1308103,-2.35E-06
0.1312759,-2.74E-05,0.1312759,1.85E-06
0.1317414,-3.24E-05,0.1317414,4.20E-06
0.1322069,-3.74E-05,0.1322069,5.20E-06
0.1326724,-2.77E-05,0.1326724,7.05E-06
0.1331379,-7.22E-06,0.1331379,9.74E-06
0.1336034,9.23E-06,0.1336034,7.89E-06
0.134069,2.03E-05,0.134069,1.01E-06
0.1345345,3.27E-05,0.1345345,-1.85E-06
0.135,4.75E-05,0.135,-2.18E-06
0.1354655,6.09E-05,0.1354655,-4.20E-06
0.135931,7.64E-05,0.135931,-4.87E-06
0.1363965,8.73E-05,0.1363965,-4.53E-06
0.1368621,8.61E-05,0.1368621,-4.53E-06
0.1373276,7.91E-05,0.1373276,-2.35E-06
0.1377931,6.88E-05,0.1377931,5.04E-07
0.1382586,4.95E-05,0.1382586,5.04E-07
0.1387241,3.27E-05,0.1387241,-2.85E-06
0.1391896,2.80E-05,0.1391896,-7.55E-06
0.1396552,3.00E-05,0.1396552,-9.90E-06
0.1401207,2.75E-05,0.1401207,-7.89E-06
0.1405862,1.96E-05,0.1405862,-4.87E-06
0.1410517,-1.17E-06,0.1410517,-2.85E-06
0.1415172,-3.84E-05,0.1415172,-1.17E-06
0.1419827,-8.16E-05,0.1419827,-8.39E-07
0.1424483,-0.000107591,0.1424483,-4.20E-06
0.1429138,-0.000100206,0.1429138,-9.57E-06
0.1433793,-7.03E-05,0.1433793,-8.73E-06
0.1438448,-4.72E-05,0.1438448,-3.52E-06
0.1443103,-4.05E-05,0.1443103,-1.68E-07
0.1447759,-3.66E-05,0.1447759,-1.68E-07
0.1452414,-2.90E-05,0.1452414,3.36E-07
0.1457069,-2.37E-05,0.1457069,-1.68E-07
0.1461724,-2.11E-05,0.1461724,-3.19E-06
0.1466379,-1.91E-05,0.1466379,-4.87E-06
0.1471034,-1.80E-05,0.1471034,-3.36E-07
0.147569,-1.64E-05,0.147569,4.87E-06
0.1480345,-1.66E-05,0.1480345,4.20E-06
0.1485,-1.73E-05,0.1485,1.51E-06
0.1489655,-2.03E-05,0.1489655,1.68E-07
0.149431,-2.35E-05,0.149431,1.68E-07
0.1498965,-2.67E-05,0.1498965,-3.19E-06
0.1503621,-2.84E-05,0.1503621,-8.39E-06
0.1508276,-2.67E-05,0.1508276,-1.02E-05
0.1512931,-2.17E-05,0.1512931,-9.57E-06
0.1517586,-1.43E-05,0.1517586,-8.56E-06
0.1522241,-9.57E-06,0.1522241,-8.22E-06
0.1526897,-7.55E-06,0.1526897,-7.89E-06
0.1531552,-6.88E-06,0.1531552,-7.55E-06
0.1536207,-1.68E-06,0.1536207,-5.54E-06
0.1540862,6.21E-06,0.1540862,-3.19E-06
0.1545517,1.19E-05,0.1545517,-1.51E-06
0.1550172,1.46E-05,0.1550172,-1.51E-06
0.1554828,2.00E-05,0.1554828,-2.35E-06
0.1559483,3.47E-05,0.1559483,-3.52E-06
0.1564138,4.68E-05,0.1564138,-3.52E-06
0.1568793,4.75E-05,0.1568793,-2.85E-06
0.1573448,3.61E-05,0.1573448,-1.17E-06
0.1578103,2.13E-05,0.1578103,8.39E-07
0.1582759,9.23E-06,0.1582759,1.17E-06
0.1587414,-3.52E-06,0.1587414,1.85E-06
0.1592069,-1.90E-05,0.1592069,2.18E-06
0.1596724,-2.65E-05,0.1596724,5.04E-07
0.1601379,-1.90E-05,0.1601379,-1.68E-07
0.1606034,-9.57E-06,0.1606034,1.17E-06
0.161069,-6.21E-06,0.161069,1.17E-06
0.1615345,-3.86E-06,0.1615345,-1.51E-06
0.162,-3.19E-06,0.162,-3.36E-06
0.1624655,-4.87E-06,0.1624655,-3.86E-06
0.162931,-3.02E-06,0.162931,-3.69E-06
0.1633966,-1.68E-07,0.1633966,-4.20E-06
0.1638621,1.17E-06,0.1638621,-4.53E-06
0.1643276,4.36E-06,0.1643276,-2.52E-06
0.1647931,7.89E-06,0.1647931,-1.51E-06
0.1652586,5.87E-06,0.1652586,5.04E-07
0.1657241,-6.88E-06,0.1657241,4.87E-06
0.1661897,-2.40E-05,0.1661897,6.55E-06
0.1666552,-3.84E-05,0.1666552,6.21E-06
0.1671207,-4.38E-05,0.1671207,6.21E-06
0.1675862,-4.05E-05,0.1675862,7.55E-06
0.1680517,-3.32E-05,0.1680517,8.39E-06
0.1685172,-2.33E-05,0.1685172,7.22E-06
0.1689828,-1.29E-05,0.1689828,2.52E-06
0.1694483,-7.55E-06,0.1694483,-4.20E-06
0.1699138,-2.35E-06,0.1699138,-1.16E-05
0.1703793,1.43E-05,0.1703793,-8.90E-06
0.1708448,3.69E-05,0.1708448,5.04E-07
0.1713103,5.54E-05,0.1713103,5.71E-06
0.1717759,6.09E-05,0.1717759,4.53E-06
0.1722414,5.24E-05,0.1722414,1.17E-06
0.1727069,3.68E-05,0.1727069,-6.21E-06
0.1731724,2.80E-05,0.1731724,-1.59E-05
0.1736379,2.84E-05,0.1736379,-2.03E-05
0.1741034,2.50E-05,0.1741034,-1.53E-05
0.174569,1.26E-05,0.174569,-7.39E-06
0.1750345,-5.04E-07,0.1750345,-2.18E-06
0.1755,-9.90E-06,0.1755,-8.39E-07
0.1759655,-1.59E-05,0.1759655,8.39E-07
0.176431,-1.83E-05,0.176431,3.69E-06
0.1768965,-2.00E-05,0.1768965,1.85E-06
0.1773621,-2.06E-05,0.1773621,-3.86E-06
0.1778276,-1.49E-05,0.1778276,-6.88E-06
0.1782931,-9.57E-06,0.1782931,-5.54E-06
0.1787586,-7.22E-06,0.1787586,-3.86E-06
0.1792241,-7.05E-06,0.1792241,-2.85E-06
0.1796896,-8.22E-06,0.1796896,-3.02E-06
0.1801552,-1.63E-05,0.1801552,-6.88E-06
0.1806207,-3.64E-05,0.1806207,-8.22E-06
0.1810862,-6.87E-05,0.1810862,-4.20E-06
0.1815517,-9.55E-05,0.1815517,3.36E-07
0.1820172,-9.92E-05,0.1820172,4.53E-06
0.1824827,-8.21E-05,0.1824827,3.86E-06
0.1829483,-5.66E-05,0.1829483,-3.36E-06
0.1834138,-2.45E-05,0.1834138,-1.29E-05
0.1838793,1.53E-05,0.1838793,-1.63E-05
0.1843448,6.09E-05,0.1843448,-1.58E-05
0.1848103,0.000110613,0.1848103,-1.29E-05
0.1852759,0.000146868,0.1852759,-9.90E-06
0.1857414,0.000152911,0.1857414,-8.90E-06
0.1862069,0.000122362,0.1862069,-9.23E-06
0.1866724,7.55E-05,0.1866724,-7.55E-06
0.1871379,3.93E-05,0.1871379,-2.85E-06
0.1876034,7.22E-06,0.1876034,1.85E-06
0.188069,-2.53E-05,0.188069,3.86E-06
0.1885345,-5.09E-05,0.1885345,1.17E-06
0.189,-6.70E-05,0.189,-5.54E-06
0.1894655,-7.47E-05,0.1894655,-7.55E-06
0.189931,-6.60E-05,0.189931,-3.02E-06
0.1903965,-4.75E-05,0.1903965,1.17E-06
0.1908621,-3.71E-05,0.1908621,2.85E-06
0.1913276,-4.13E-05,0.1913276,4.53E-06
0.1917931,-5.99E-05,0.1917931,7.89E-06
0.1922586,-7.80E-05,0.1922586,1.09E-05
0.1927241,-8.07E-05,0.1927241,1.19E-05
0.1931897,-6.97E-05,0.1931897,1.06E-05
0.1936552,-5.44E-05,0.1936552,8.90E-06
0.1941207,-3.44E-05,0.1941207,1.09E-05
0.1945862,-4.20E-06,0.1945862,1.46E-05
0.1950517,3.31E-05,0.1950517,1.19E-05
0.1955172,6.50E-05,0.1955172,5.71E-06
0.1959828,8.04E-05,0.1959828,-1.68E-07
0.1964483,7.82E-05,0.1964483,-4.53E-06
0.1969138,6.95E-05,0.1969138,-9.23E-06
0.1973793,6.43E-05,0.1973793,-9.57E-06
0.1978448,5.47E-05,0.1978448,-9.90E-06
0.1983103,3.47E-05,0.1983103,-1.36E-05
0.1987759,1.59E-05,0.1987759,-1.49E-05
0.1992414,1.12E-05,0.1992414,-9.57E-06
0.1997069,1.12E-05,0.1997069,-4.20E-06
0.2001724,1.06E-05,0.2001724,-2.18E-06
0.2006379,7.55E-06,0.2006379,-2.35E-06
0.2011034,-8.39E-07,0.2011034,-2.18E-06
0.201569,-2.10E-05,0.201569,-1.51E-06
0.2020345,-4.75E-05,0.2020345,-1.68E-06
0.2025,-6.26E-05,0.2025,-3.19E-06
0.2029655,-5.39E-05,0.2029655,-5.54E-06
0.203431,-3.54E-05,0.203431,-4.87E-06
0.2038966,-2.33E-05,0.2038966,-2.85E-06
0.2043621,-2.03E-05,0.2043621,-3.86E-06
0.2048276,-1.43E-05,0.2048276,-4.53E-06
0.2052931,-1.29E-05,0.2052931,-2.52E-06
0.2057586,-2.20E-05,0.2057586,5.04E-07
0.2062241,-3.68E-05,0.2062241,-1.68E-07
0.2066897,-5.12E-05,0.2066897,5.04E-07
0.2071552,-5.52E-05,0.2071552,-1.85E-06
0.2076207,-4.52E-05,0.2076207,-4.53E-06
0.2080862,-2.87E-05,0.2080862,-4.53E-06
0.2085517,-1.58E-05,0.2085517,-2.52E-06
0.2090172,-2.85E-06,0.2090172,-8.39E-07
0.2094828,1.63E-05,0.2094828,-1.17E-06
0.2099483,4.52E-05,0.2099483,-1.85E-06
0.2104138,6.80E-05,0.2104138,-2.85E-06
0.2108793,6.95E-05,0.2108793,-3.36E-07
0.2113448,5.35E-05,0.2113448,5.04E-06
0.2118103,2.79E-05,0.2118103,8.90E-06
0.2122759,-3.86E-06,0.2122759,9.57E-06
0.2127414,-4.18E-05,0.2127414,6.55E-06
0.2132069,-6.76E-05,0.2132069,1.51E-06
0.2136724,-5.20E-05,0.2136724,-4.87E-06
0.2141379,-6.21E-06,0.2141379,-8.90E-06
0.2146034,2.25E-05,0.2146034,-1.26E-05
0.215069,1.90E-05,0.215069,-1.70E-05
0.2155345,5.20E-06,0.2155345,-1.70E-05
0.216,-8.39E-07,0.216,-1.29E-05
0.2164655,3.36E-07,0.2164655,-7.89E-06
0.216931,3.69E-06,0.216931,-4.87E-06
0.2173965,6.21E-06,0.2173965,-5.87E-06
0.2178621,4.53E-06,0.2178621,-8.22E-06
0.2183276,4.20E-06,0.2183276,-6.21E-06
0.2187931,8.56E-06,0.2187931,-5.20E-06
0.2192586,1.66E-05,0.2192586,-5.54E-06
0.2197241,2.30E-05,0.2197241,-5.54E-06
0.2201896,2.13E-05,0.2201896,-4.20E-06
0.2206552,8.39E-06,0.2206552,-3.52E-06
0.2211207,-7.89E-06,0.2211207,-1.85E-06
0.2215862,-1.76E-05,0.2215862,1.68E-07
0.2220517,-2.08E-05,0.2220517,1.51E-06
0.2225172,-2.06E-05,0.2225172,3.19E-06
0.2229827,-1.85E-05,0.2229827,4.53E-06
0.2234483,-1.85E-05,0.2234483,4.87E-06
0.2239138,-2.50E-05,0.2239138,3.19E-06
0.2243793,-2.70E-05,0.2243793,1.17E-06
0.2248448,-2.30E-05,0.2248448,8.39E-07
0.2253103,-1.49E-05,0.2253103,2.52E-06
0.2257759,-3.52E-06,0.2257759,5.87E-06
0.2262414,1.09E-05,0.2262414,1.06E-05
0.2267069,2.18E-05,0.2267069,9.57E-06
0.2271724,2.97E-05,0.2271724,2.85E-06
0.2276379,3.54E-05,0.2276379,-2.85E-06
0.2281034,2.90E-05,0.2281034,-4.87E-06
0.228569,1.56E-05,0.228569,-5.71E-06
0.2290345,1.59E-05,0.2290345,-6.21E-06
0.2295,2.60E-05,0.2295,-6.55E-06
0.2299655,2.52E-05,0.2299655,-5.87E-06
0.230431,1.36E-05,0.230431,-3.19E-06
